destination_id,title,avg_rating,voted_by,genre,history,art_and_architecture,nature,adventure,entertainment,health_and_lifestyle,food,industries,religious
0,Boudhanath Stupa,4.5,8897,['Religious Sites'],True,True,False,False,False,False,False,False,True
1,Phewa Tal (Fewa Lake),4.5,2988,['Bodies of Water'],False,False,True,False,False,False,False,False,False
2,Sarangkot,4.5,2199,['Mountains'],False,False,True,False,False,False,False,False,False
3,Swayambhunath Temple,4.5,6203,['Religious Sites'],True,True,False,False,False,False,False,False,True
4,Poon Hill,4.5,1477,['Mountains'],False,False,True,False,False,False,False,False,False
5,Peace Temple,4.5,2411,['Religious Sites'],True,True,False,False,False,False,False,False,True
6,Pashupatinath Temple,4.5,4937,['Religious Sites'],True,True,False,False,False,False,False,False,True
7,Durbar (Central) Square,4.5,987,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False
8,Chandragiri Hills,4.5,399,['Mountains'],False,False,True,False,False,False,False,False,False
9,Mount Everest,5.0,425,['Mountains'],False,False,True,False,False,False,False,False,False
10,Begnas Lake,4.5,552,['Bodies of Water'],False,False,True,False,False,False,False,False,False
11,Golden Temple (Hiranya Varna Mahavihar),4.5,351,['Religious Sites'],True,True,False,False,False,False,False,False,True
12,Patan Museum,4.5,526,['Art Museums'],True,True,False,False,False,False,False,False,False
13,International Mountain Museum,4.0,956,['Speciality Museums'],False,False,False,False,False,False,False,False,False
14,Bhaktapur Durbar Square,4.5,1632,"['Ancient Ruins', 'Points of Interest & Landmarks']",True,True,False,False,False,False,False,False,False
15,Narayani River,4.5,410,['Bodies of Water'],False,False,True,False,False,False,False,False,False
16,Kopan Monastery,4.5,787,['Religious Sites'],True,True,False,False,False,False,False,False,True
17,Thamel,4.0,5687,['Neighborhoods'],False,False,False,False,False,False,False,False,False
18,Nagarkot Panoramic Hiking Trail,4.5,82,['Hiking Trails'],False,False,True,True,False,False,False,False,False
19,Gokyo Lakes,5.0,122,['Bodies of Water'],False,False,True,False,False,False,False,False,False
20,Patan Durbar Square,5.0,60,"['Points of Interest & Landmarks', 'Historic Walking Areas']",True,True,True,False,False,False,False,False,False
21,Garden of Dreams,4.5,4021,['Gardens'],False,False,False,False,False,False,False,False,False
22,Namo Buddha (Stupa),4.5,129,"['Points of Interest & Landmarks', 'Religious Sites']",True,True,True,False,False,False,False,False,False
23,Polar Trekking & Expedition  - Day Tours,5.0,175,"['Parasailing & Paragliding', 'River Rafting & Tubing']",False,False,False,True,False,False,False,False,False
24,Kathmandu Durbar Square,4.0,4711,"['Historic Sites', 'Points of Interest & Landmarks']",True,True,False,False,False,False,False,False,False
25,Chitwan National Park,4.5,555,"['National Parks', 'Nature & Wildlife Areas']",False,False,True,False,False,False,False,False,False
26,Gupteswar Gupha,4.0,480,['Caverns & Caves'],False,False,True,False,False,False,False,False,False
27,Trisuli River,4.5,29,['Bodies of Water'],False,False,True,False,False,False,False,False,False
28,Devi's Fall,3.0,1459,['Waterfalls'],False,False,False,False,False,False,False,False,False
29,Gurkha Memorial Museum,4.5,310,['History Museums'],True,True,False,False,False,False,False,False,False
30,Muktinath Temple,4.5,134,['Religious Sites'],True,True,False,False,False,False,False,False,True
31,Barahi temple,4.0,388,['Religious Sites'],True,True,False,False,False,False,False,False,True
32,Maya Devi Temple,4.5,446,['Religious Sites'],True,True,False,False,False,False,False,False,True
33,Annapurna Base Camp Trek,5.0,25,['Hiking Trails'],False,False,True,True,False,False,False,False,False
34,Annapurna Mountain Range,5.0,537,"['Mountains', 'Hiking Trails']",False,False,True,False,False,False,False,False,False
35,Bindhya Basini Temple,4.0,222,['Religious Sites'],True,True,False,False,False,False,False,False,True
36,Kala Patthar,5.0,60,['Mountains'],False,False,True,False,False,False,False,False,False
37,Asan,4.5,243,['Flea & Street Markets'],False,False,False,False,True,False,False,False,False
38,Bishazari Tal,5.0,4,['Bodies of Water'],False,False,True,False,False,False,False,False,False
39,Jomsom Muktinath Trek,4.5,56,['Hiking Trails'],False,False,True,True,False,False,False,False,False
40,Shivapuri Nagarjun National Park,4.5,135,['National Parks'],False,False,True,False,False,False,False,False,False
41,Mahaboudha Temple,4.5,61,['Religious Sites'],True,True,False,False,False,False,False,False,True
42,Kailashnath Mahadev,4.5,112,['Monuments & Statues'],True,True,False,False,False,False,False,False,True
43,Dakshinkali Temple,4.5,235,['Religious Sites'],True,True,False,False,False,False,False,False,True
44,Budhanilkantha,4.5,372,['Religious Sites'],True,True,False,False,False,False,False,False,True
45,Krisnhna Mandir Temple (Chayasim Deval),4.5,114,"['Historic Sites', 'Religious Sites']",True,True,False,False,False,False,False,False,False
46,Jangchub Choeling Tibetan Monastery,4.5,18,['Religious Sites'],True,True,False,False,False,False,False,False,True
47,Nagarkot Nature Trail,4.5,67,"['Nature & Wildlife Areas', 'Hiking Trails']",False,False,True,True,False,False,False,False,False
48,Pokhara Lakeside,4.5,47,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False
49,Hanuman Dhoka,4.5,589,"['Points of Interest & Landmarks', 'Architectural Buildings']",True,True,True,False,False,False,False,False,False
50,Mahendra Cave,3.0,183,['Caverns & Caves'],False,False,True,False,False,False,False,False,False
51,Changu Narayan,4.5,497,['Religious Sites'],True,True,False,False,False,False,False,False,True
52,The Crematoria,4.0,1468,['Religious Sites'],True,True,False,False,False,False,False,False,True
53,Seti River Gourge,3.5,111,['Nature & Wildlife Areas'],False,False,True,True,False,False,False,False,False
54,Seti Gandaki (Seti River),4.0,158,['Bodies of Water'],False,False,True,False,False,False,False,False,False
55,Bat Cave,3.5,198,"['Nature & Wildlife Areas', 'Caverns & Caves']",False,False,True,True,False,False,False,False,False
56,Tiger Residency Resort,4.0,22,['Nature & Wildlife Areas'],False,False,True,True,False,False,False,False,False
57,Sherpa Museum,4.5,80,['Speciality Museums'],False,False,False,False,False,False,False,False,False
58,Langtang Valley,5.0,52,['Valleys'],False,False,True,False,False,False,False,False,False
59,Thrangu Tashi Monastery,4.5,169,['Religious Sites'],True,True,False,False,False,False,False,False,True
60,Pathibhara Devi Temple,5.0,8,['Religious Sites'],True,True,False,False,False,False,False,False,True
61,Patan Royal Palace,4.5,30,['Historic Sites'],True,True,False,False,False,False,False,False,False
62,Janaki Temple,4.5,64,['Religious Sites'],True,True,False,False,False,False,False,False,True
63,Kumari Chowk,4.0,785,['Religious Sites'],True,True,False,False,False,False,False,False,True
64,Thani Mai Temple,4.5,31,"['Lookouts', 'Religious Sites']",True,True,True,False,False,False,False,False,False
65,Sagarmatha National Park Museum,4.5,11,['Speciality Museums'],False,False,False,False,False,False,False,False,False
66,Rupa Lake,4.0,43,['Bodies of Water'],False,False,True,False,False,False,False,False,False
67,Tushita-Nepal,4.5,16,"['Mysterious Sites', 'Religious Sites']",True,True,True,True,False,False,False,False,False
