title,avg_rating,voted_by,genre,history,art_and_architecture,nature,adventure,entertainment,health_and_lifestyle,food,industries,religious,latitude,longitude
Boudhanath Stupa,4.5,8897,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7215062,85.3598087
Phewa Tal (Fewa Lake),4.5,2988,['Bodies of Water'],False,False,True,False,False,False,False,False,False,28.2116268,83.9322958
Sarangkot,4.5,2199,['Mountains'],False,False,True,False,False,False,False,False,False,28.2443761,83.9445644
Swayambhunath Temple,4.5,6203,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7149298,85.2881456
Poon Hill,4.5,1477,['Mountains'],False,False,True,False,False,False,False,False,False,28.400195,83.6717889
Peace Temple,4.5,2411,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6935931,85.2976854
Pashupatinath Temple,4.5,4937,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7104461,85.3465028
Durbar (Central) Square,4.5,987,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.6881055,85.2981099
Chandragiri Hills,4.5,399,['Mountains'],False,False,True,False,False,False,False,False,False,27.6672261,85.203655
Mount Everest,5,425,['Mountains'],False,False,True,False,False,False,False,False,False,27.9902317,86.8616443
Begnas Lake,4.5,552,['Bodies of Water'],False,False,True,False,False,False,False,False,False,28.1784397,84.0847821
Golden Temple (Hiranya Varna Mahavihar),4.5,351,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6752242,85.3223596
Patan Museum,4.5,526,['Art Museums'],True,True,False,False,False,False,False,False,False,27.6728498,85.3234764
International Mountain Museum,4,956,['Speciality Museums'],False,False,False,False,False,False,False,False,False,28.1899544,83.9806388
Bhaktapur Durbar Square,4.5,1632,"['Ancient Ruins', 'Points of Interest & Landmarks']",True,True,False,False,False,False,False,False,False,27.6720744,85.4259136
Narayani River,4.5,410,['Bodies of Water'],False,False,True,False,False,False,False,False,False,28.4123787,82.8085131
Kopan Monastery,4.5,787,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7425438,85.3622082
Thamel,4,5687,['Neighborhoods'],False,False,False,False,False,False,False,False,False,27.7150086,85.3078937
Nagarkot Panoramic Hiking Trail,4.5,82,['Hiking Trails'],False,False,True,True,False,False,False,False,False,27.7305368,85.5256837
Gokyo Lakes,5,122,['Bodies of Water'],False,False,True,False,False,False,False,False,False,27.9755456,86.6582663
Patan Durbar Square,5,60,"['Points of Interest & Landmarks', 'Historic Walking Areas']",True,True,True,False,False,False,False,False,False,27.6726981,85.3231324
Garden of Dreams,4.5,4021,['Gardens'],False,False,False,False,False,False,False,False,False,27.7141261,85.3123154
Namo Buddha (Stupa),4.5,129,"['Points of Interest & Landmarks', 'Religious Sites']",True,True,True,False,False,False,False,False,False,27.6931555,85.0525016
Polar Trekking & Expedition  - Day Tours,5,175,"['Parasailing & Paragliding', 'River Rafting & Tubing']",False,False,False,True,False,False,False,False,False,27.6934331,85.2976855
