dest_id,title,genre,latitude,longitude
1,Boudhanath Stupa,history:art_and_architecture:religious,27.7215062,85.3598087
2,Swayambhunath Temple,history:art_and_architecture:religious,27.7149298,85.2881456
3,Pashupatinath Temple,history:art_and_architecture:religious,27.7104461,85.3465028
4,Chandragiri Hills,nature,27.6710496,85.262664
5,Kopan Monastery,history:art_and_architecture:religious,27.7425438,85.3622082
6,Thamel,history,27.7150086,85.3078937
7,Garden of Dreams,history:nature,27.7141261,85.3123154
8,Namo Buddha (Stupa),history:art_and_architecture:nature,27.570067,85.5778464
9,Kathmandu Durbar Square,history:art_and_architecture,27.7041718,85.3044636
10,Asan,art_and_architecture:entertainment:health_and_lifestyle,27.7074849,85.3102006
11,Shivapuri Nagarjun National Park,nature,27.8120756,85.3671918
12,Kailashnath Mahadev,history:art_and_architecture:religious,27.6461062,85.4720758
13,Dakshinkali Temple,history:art_and_architecture:religious,27.605107,85.2612812
14,Budhanilkantha,history:art_and_architecture:religious,27.7677291,85.2909879
15,Hanuman Dhoka,history:art_and_architecture:nature,27.704272,85.3052283
16,The Crematoria,history:art_and_architecture:religious,27.7063725,85.3462654
17,Kumari Chowk,history:art_and_architecture:religious,27.704998,85.2656449
18,Narayanhiti Palace Museum,history:art_and_architecture,27.7149634,85.3161398
19,Babar Mahal Revisted,history:art_and_architecture,27.6942629,85.3204241
20,Basantapur Tower,history:art_and_architecture:nature,27.7041967,85.3045026
21,Phulchoki,nature,27.5711011,85.3880407
22,Budhanilakantha Temple,history:art_and_architecture:religious,27.7592747,85.3193618
23,Pullahari Monastery,history:art_and_architecture:religious,27.7367119,85.3674093
24,National Botanical Gardens,history:nature,27.5969324,85.3779545
25,Jaganath (Krishna) Temple,history:art_and_architecture:religious,27.6886139,85.2985446
26,Indra Chowk,history:art_and_architecture,27.7057217,85.3073225
27,Kathesimbu Stupa,history:art_and_architecture:religious,27.7110004,85.2708521
28,Akash Bhairav Temple,history:art_and_architecture:religious,27.7060376,85.3072115
29,Mandala Street,history,27.7151546,85.3086283
30,Sankhu Village,history:art_and_architecture:nature,27.5115388,85.2993313
31,Amideva Buddha Park,history:art_and_architecture:nature,27.7192599,85.2876642
32,Kala Bairav,history:art_and_architecture:religious,27.704838,85.304923
33,Vajrayogini Temple,history:art_and_architecture:religious,27.7439725,85.4647057
34,Astrek Climbing Wall,entertainment,27.7163365,85.3103538
35,Templo de Changu Narayan,history:art_and_architecture:nature,27.7145766,85.4274005
36,White Monastery,history:art_and_architecture:nature,27.7237768,85.3674653
37,Taudaha Lake,nature,27.6486985,85.2644903
38,Shechen Monastery,history:art_and_architecture:religious,27.7247522,85.3584667
39,The National Museum,history:art_and_architecture,27.7101731,85.2840678
40,Nagarjun Forest Reserve,nature:adventure,27.7442178,85.254535
41,Degu Taleju Temple,history:art_and_architecture:religious,27.7049154,85.305858
42,Cathedral of the Assumption of the Blessed Virgin Mary,history:art_and_architecture:religious,27.6726341,85.3044028
43,Seto Machindranath Temple,history:art_and_architecture:religious,27.7066835,85.3080359
44,Nagi Gompa,history:art_and_architecture:religious,27.7831815,85.3795645
45,Freak Street (Jhhonchen Tole),history:art_and_architecture:nature,27.7035085,85.3045869
46,Aarya Ghat,history:art_and_architecture:nature,27.7094523,85.3463231
47,Basantpur Dabali,history:art_and_architecture:nature,27.7035908,85.3052152
48,Taragaon Museum,history:art_and_architecture,27.7201836,85.3540158
49,Boudha Farmers Market at Utpala Cafe,entertainment:food,27.7244642,85.3602138
50,Chhango Adventure Canyoning In Nepal,adventure:health_and_lifestyle,27.715298,85.3077642
51,Boudha Stupa Thanka Center,history:art_and_architecture:religious,27.7210932,85.3602582
52,Kaiser Library,history:art_and_architecture,27.7146034,85.3130197
53,The Natural History Museum,history:art_and_architecture,27.71453,85.2857607
54,Guhyeshwari Temple,history:art_and_architecture:religious,27.7112609,85.3512429
55,Manakamana Mandir Temple,history:art_and_architecture:nature,27.7038666,85.2372554
56,Durbar Marg Street,history:art_and_architecture:nature,27.71245,85.3155822
57,Tribhuvan Park,history:art_and_architecture:nature,27.7122298,85.2841802
58,Shiva Parvati Temple,history:art_and_architecture:nature,27.6990715,85.3052986
59,Bishal Bazaar,entertainment,27.7042993,85.3075129
60,Annapurna Temple,history:art_and_architecture:religious,27.7073747,85.3099258
61,Maru Ganesh Shrine,history:art_and_architecture:religious,27.704106,85.303742
62,Ratna Park,history:art_and_architecture:nature,27.7066313,85.3123355
63,Thahiti Chowk,history:art_and_architecture:nature,27.7105327,85.3084785
64,Nara Devi Temple,history:art_and_architecture:nature,27.7077432,85.3050309
65,Military Museum,history:art_and_architecture,27.7074164,85.2946048
66,Shanti Spa,adventure:health_and_lifestyle,27.7161539,85.3088222
67,Gokarneshwor Mahadev Temple,history:art_and_architecture,27.7392772,85.3855226
68,Makhan Tole,history:art_and_architecture:nature,27.7055531,85.3067216
69,Music Museum of Nepal,history:art_and_architecture,27.6929604,85.3121559
70,Kathmandu Fun Park,entertainment,27.701377,85.3182094
71,Bhimsen Tower,history:art_and_architecture:nature,27.7006107,85.3096452
72,Tridevi Temple,history:art_and_architecture,27.713845,85.3117253
73,himalayan arts gallery pltd,history:art_and_architecture:religious,27.7129525,85.3093281
74,Guru Lhakhang Monastery,history:art_and_architecture:religious,27.7220231,85.3598993
75,Rani Pokhari (Queen's Pond),history:art_and_architecture:nature,27.7078387,85.3131603
76,Woodcraft Gallery,history:art_and_architecture:religious,27.7154575,85.3066668
77,Kashthamandap,history:art_and_architecture:religious,27.7038375,85.3036515
78,Namkha Khyung Dzong Rigdin Choling Monastery,history:art_and_architecture:religious,27.7804877,85.3478869
79,Casino Mahjong,entertainment,27.7007362,85.288259
