title,avg_rating,voted_by,genre,history,art_and_architecture,nature,adventure,entertainment,health_and_lifestyle,food,industries,religious
Boudhanath Stupa,4.5,8897,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Phewa Tal (Fewa Lake),4.5,2988,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sarangkot,4.5,2199,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Swayambhunath Temple,4.5,6203,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Poon Hill,4.5,1477,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Peace Temple,4.5,2411,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Pashupatinath Temple,4.5,4937,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Durbar (Central) Square,4.5,987,    Points of Interest & Landmarks     ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Chandragiri Hills,4.5,399,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mount Everest,5,425,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Begnas Lake,4.5,552,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Golden Temple (Hiranya Varna Mahavihar),4.5,351,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Patan Museum,4.5,526,    Art Museums     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
International Mountain Museum,4,956,    Speciality Museums     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bhaktapur Durbar Square,4.5,1632,"    Ancient Ruins   ,    Points of Interest & Landmarks     ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Narayani River,4.5,410,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Kopan Monastery,4.5,787,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Thamel,4,5687,    Neighborhoods     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Nagarkot Panoramic Hiking Trail,4.5,82,    Hiking Trails     ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Gokyo Lakes,5,122,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Patan Durbar Square,5,60,"    Points of Interest & Landmarks   ,    Historic Walking Areas     ",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Garden of Dreams,4.5,4021,    Gardens     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Namo Buddha (Stupa),4.5,129,"    Points of Interest & Landmarks   ,    Religious Sites     ",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Polar Trekking & Expedition  - Day Tours,5,175,"    Parasailing & Paragliding   ,    River Rafting & Tubing     ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Kathmandu Durbar Square,4,4711,"    Historic Sites   ,    Points of Interest & Landmarks     ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Chitwan National Park,4.5,555,"    National Parks   ,    Nature & Wildlife Areas     ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Gupteswar Gupha,4,480,    Caverns & Caves     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Trisuli River,4.5,29,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Devi   s Fall,3,1459,    Waterfalls     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Gurkha Memorial Museum,4.5,310,    History Museums     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Muktinath Temple,4.5,134,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Barahi temple,4,388,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Maya Devi Temple,4.5,446,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Annapurna Base Camp Trek,5,25,    Hiking Trails     ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Annapurna Mountain Range,5,537,"    Mountains   ,    Hiking Trails     ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bindhya Basini Temple,4,222,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Kala Patthar,5,60,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Asan,4.5,243,    Flea & Street Markets     ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Bishazari Tal,5,4,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Jomsom Muktinath Trek,4.5,56,    Hiking Trails     ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Shivapuri Nagarjun National Park,4.5,135,    National Parks     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mahaboudha Temple,4.5,61,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Kailashnath Mahadev,4.5,112,    Monuments & Statues     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Dakshinkali Temple,4.5,235,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Budhanilkantha,4.5,372,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Krisnhna Mandir Temple (Chayasim Deval),4.5,114,"    Historic Sites   ,    Religious Sites     ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Jangchub Choeling Tibetan Monastery,4.5,18,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Nagarkot Nature Trail,4.5,67,"    Nature & Wildlife Areas   ,    Hiking Trails     ",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Pokhara Lakeside,4.5,47,    Points of Interest & Landmarks     ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Hanuman Dhoka,4.5,589,"    Points of Interest & Landmarks   ,    Architectural Buildings     ",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mahendra Cave,3,183,    Caverns & Caves     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Changu Narayan,4.5,497,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Crematoria,4,1468,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Seti River Gourge,3.5,111,    Nature & Wildlife Areas     ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Seti Gandaki (Seti River),4,158,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bat Cave,3.5,198,"    Nature & Wildlife Areas   ,    Caverns & Caves     ",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Tiger Residency Resort,4,22,    Nature & Wildlife Areas     ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Sherpa Museum,4.5,80,    Speciality Museums     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Langtang Valley,5,52,    Valleys     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Thrangu Tashi Monastery,4.5,169,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Pathibhara Devi Temple,5,8,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Patan Royal Palace,4.5,30,    Historic Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Janaki Temple,4.5,64,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Kumari Chowk,4,785,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Thani Mai Temple,4.5,31,"    Lookouts   ,    Religious Sites     ",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
